area,bedrooms,bathrooms,stories,parking,price
7420,4,2,3,2,13300000
8960,4,4,4,3,12250000
9960,3,2,2,2,12250000
7500,4,2,2,3,12215000
7420,4,1,2,2,11410000
7500,3,2,1,2,10850000
8580,4,3,4,2,10150000
16200,5,3,2,0,10150000
8100,4,1,2,2,9870000
5750,3,2,4,1,9800000
13200,3,1,2,2,9800000
6000,4,3,2,2,9681000
6550,4,2,2,1,9310000
3500,4,2,2,2,9240000
7800,3,2,2,0,9240000
6000,3,2,3,0,9100000
6600,4,1,2,2,9100000
8500,3,2,4,2,8960000
4600,3,2,2,2,8890000
6420,3,2,2,1,8855000
4320,3,1,2,1,8750000
7155,3,2,1,2,8680000
8050,3,1,1,1,8645000
4560,3,2,2,1,8540000
8800,3,2,2,2,8463000
6540,4,2,2,2,8400000
6000,3,2,3,0,8400000
8875,3,1,1,1,8400000
7950,5,1,2,2,8400000
5500,4,2,2,1,8400000
7475,3,2,4,2,8400000
7000,3,1,4,2,8295000
4880,4,2,2,1,8295000
5960,3,1,2,0,8295000
6840,5,1,2,1,8120000
7000,3,2,4,1,8080940
7482,3,2,3,1,8043000
9000,4,2,4,1,7980000
6000,4,1,2,1,7962500
6000,3,1,1,0,7910000
6550,3,2,2,0,7875000
6360,3,2,4,0,7840000
6480,3,2,2,1,7700000
6000,4,2,4,1,7700000
6000,4,2,4,0,7560000
6000,3,2,3,0,7560000
6000,3,2,2,1,7525000
6600,4,2,2,0,7490000
4300,6,2,2,0,7455000
7440,3,1,1,2,7420000
